# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0             	(-1.401769e-04 1.851386e-02 -3.157505e-04)	(0.000000e+00 0.000000e+00 0.000000e+00)	(-1.401769e-04 1.851386e-02 -3.157505e-04)
0.005         	(5.493745e-06 5.399017e-01 4.942259e-07)	(8.738343e-06 5.308604e-01 -3.684724e-07)	(-3.244598e-06 9.041305e-03 8.626983e-07)
0.01          	(3.280558e-05 -2.463350e-01 1.054815e-06)	(3.269561e-05 -2.505074e-01 7.457508e-07)	(1.099679e-07 4.172461e-03 3.090642e-07)
0.015         	(1.517816e-05 -3.230987e-02 3.607799e-06)	(1.467613e-05 -3.467538e-02 1.750951e-07)	(5.020370e-07 2.365512e-03 3.432704e-06)
0.02          	(5.975228e-08 3.811676e-03 4.181694e-06)	(-3.806096e-07 1.873523e-03 -1.892487e-08)	(4.403619e-07 1.938152e-03 4.200619e-06)
0.025         	(1.874654e-06 1.363643e-02 3.548444e-06)	(1.395777e-06 1.173495e-02 -2.309777e-07)	(4.788766e-07 1.901478e-03 3.779422e-06)
0.03          	(1.888171e-06 6.752012e-04 3.638187e-06)	(1.511763e-06 -1.076592e-03 -9.054009e-09)	(3.764085e-07 1.751793e-03 3.647241e-06)
0.035         	(1.360051e-06 1.361729e-03 3.165574e-06)	(1.066899e-06 -2.514213e-04 -2.331127e-08)	(2.931518e-07 1.613150e-03 3.188885e-06)
0.04          	(7.718270e-07 2.198890e-03 2.405681e-06)	(5.493023e-07 6.912025e-04 -4.313130e-08)	(2.225247e-07 1.507687e-03 2.448812e-06)
0.045         	(6.153653e-07 2.468937e-03 1.494228e-06)	(4.129064e-07 1.044668e-03 -5.923388e-08)	(2.024590e-07 1.424270e-03 1.553462e-06)
0.05          	(6.827516e-07 2.222871e-03 6.548400e-07)	(4.928736e-07 8.720475e-04 -6.372358e-08)	(1.898780e-07 1.350823e-03 7.185636e-07)
0.055         	(6.972445e-07 2.117146e-03 -7.419431e-08)	(5.228025e-07 8.308014e-04 -7.139588e-08)	(1.744420e-07 1.286345e-03 -2.798424e-09)
0.06          	(6.884629e-07 2.053823e-03 -6.646778e-07)	(5.336025e-07 8.239497e-04 -7.982521e-08)	(1.548604e-07 1.229873e-03 -5.848526e-07)
0.065         	(6.786818e-07 1.992477e-03 -1.120317e-06)	(5.450373e-07 8.124297e-04 -8.808190e-08)	(1.336446e-07 1.180048e-03 -1.032235e-06)
0.07          	(6.566345e-07 1.926182e-03 -1.439174e-06)	(5.418937e-07 7.905267e-04 -9.457864e-08)	(1.147408e-07 1.135656e-03 -1.344596e-06)
0.075         	(6.516898e-07 1.865662e-03 -1.637418e-06)	(5.498523e-07 7.698362e-04 -1.017812e-07)	(1.018375e-07 1.095826e-03 -1.535637e-06)
0.08          	(6.400211e-07 1.811537e-03 -1.744402e-06)	(5.470311e-07 7.516815e-04 -1.081340e-07)	(9.299001e-08 1.059855e-03 -1.636268e-06)
0.085         	(5.877909e-07 1.762258e-03 -1.778188e-06)	(5.000529e-07 7.350826e-04 -1.102434e-07)	(8.773805e-08 1.027175e-03 -1.667945e-06)
0.09          	(5.335879e-07 1.716871e-03 -1.761586e-06)	(4.494324e-07 7.195371e-04 -1.112699e-07)	(8.415553e-08 9.973337e-04 -1.650316e-06)
0.095         	(4.929436e-07 1.675031e-03 -1.705953e-06)	(4.139589e-07 7.050598e-04 -1.131729e-07)	(7.898465e-08 9.699715e-04 -1.592780e-06)
0.1           	(3.975559e-07 1.636594e-03 -1.614632e-06)	(3.247729e-07 6.918334e-04 -1.084261e-07)	(7.278305e-08 9.447609e-04 -1.506206e-06)
0.105         	(3.864787e-07 1.601060e-03 -1.517805e-06)	(3.196494e-07 6.796325e-04 -1.126050e-07)	(6.682932e-08 9.214272e-04 -1.405200e-06)
0.11          	(3.803476e-07 1.568215e-03 -1.410435e-06)	(3.198487e-07 6.684604e-04 -1.173801e-07)	(6.049884e-08 8.997547e-04 -1.293055e-06)
0.115         	(2.317989e-07 1.537718e-03 -1.280897e-06)	(1.771255e-07 6.581575e-04 -1.028505e-07)	(5.467338e-08 8.795605e-04 -1.178046e-06)
0.12          	(1.853444e-07 1.509427e-03 -1.164123e-06)	(1.353564e-07 6.487459e-04 -1.006631e-07)	(4.998795e-08 8.606807e-04 -1.063460e-06)
0.125         	(1.779158e-07 1.482894e-03 -1.052159e-06)	(1.321158e-07 6.399363e-04 -1.036042e-07)	(4.580000e-08 8.429580e-04 -9.485552e-07)
0.13          	(1.576754e-07 1.457964e-03 -9.394279e-07)	(1.159297e-07 6.317377e-04 -1.044667e-07)	(4.174572e-08 8.262265e-04 -8.349612e-07)
0.135         	(1.333045e-07 1.434646e-03 -8.326333e-07)	(9.410539e-08 6.241011e-04 -1.041713e-07)	(3.919911e-08 8.105451e-04 -7.284620e-07)
0.14          	(9.704238e-08 1.412790e-03 -7.273167e-07)	(6.070378e-08 6.170329e-04 -1.015974e-07)	(3.633861e-08 7.957572e-04 -6.257194e-07)
0.145         	(7.250110e-08 1.392181e-03 -6.328170e-07)	(3.849367e-08 6.104964e-04 -1.005361e-07)	(3.400743e-08 7.816847e-04 -5.322810e-07)
0.15          	(6.767338e-08 1.372897e-03 -5.477396e-07)	(3.668113e-08 6.044869e-04 -1.029294e-07)	(3.099225e-08 7.684098e-04 -4.448102e-07)
0.155         	(4.863998e-08 1.354687e-03 -4.627538e-07)	(2.324017e-08 5.989573e-04 -1.030823e-07)	(2.539980e-08 7.557300e-04 -3.596715e-07)
0.16          	(1.002690e-08 1.337693e-03 -3.836779e-07)	(-1.077878e-08 5.939204e-04 -9.897607e-08)	(2.080569e-08 7.437729e-04 -2.847018e-07)
0.165         	(-1.434029e-08 1.321618e-03 -3.158051e-07)	(-3.374217e-08 5.892044e-04 -9.665596e-08)	(1.940187e-08 7.324134e-04 -2.191492e-07)
0.17          	(-8.127172e-09 1.306377e-03 -2.614678e-07)	(-2.699240e-08 5.848129e-04 -1.003431e-07)	(1.886523e-08 7.215638e-04 -1.611247e-07)
0.175         	(-2.232641e-08 1.291711e-03 -2.043827e-07)	(-4.080058e-08 5.806536e-04 -9.959158e-08)	(1.847417e-08 7.110578e-04 -1.047912e-07)
0.18          	(-1.446165e-08 1.277845e-03 -1.554988e-07)	(-3.165167e-08 5.768356e-04 -1.038866e-07)	(1.719003e-08 7.010096e-04 -5.161218e-08)
0.185         	(-1.971527e-08 1.264892e-03 -9.336266e-08)	(-3.747892e-08 5.734203e-04 -1.048326e-07)	(1.776365e-08 6.914717e-04 1.146996e-08)
0.19          	(-2.670624e-08 1.252456e-03 -1.866638e-08)	(-4.629288e-08 5.701505e-04 -1.049592e-07)	(1.958664e-08 6.823055e-04 8.629278e-08)
